"Nom usuel de l'installation","Numéro de l'installation","Nom de la commune","Code INSEE","Code postal","Nom du lieu dit","Numero de la voie","Nom de la voie","location","Longitude","Latitude","Aucun aménagement d'accessibilité","Accessibilité handicapés à mobilité réduite","Accessibilité handicapés sensoriels","Emprise foncière en m2","Gardiennée avec ou sans logement de gardien","Multi commune","Nombre total de place de parking","Nombre total de place de parking handicapés","Installation particulière","Desserte métro","Desserte bus","Desserte Tram","Desserte train","Desserte bateau","Desserte autre","Nombre total d'équipements sportifs","Nombre total de fiches équipements","Date de mise à jour de la fiche installation"
"Salle Omnisports des Grands Pres","440120001","Bernerie-en-Retz","44012","44760","","","Route des Moutiers en Retz","[ 47.081132 , -2.038009]","-2.038009","47.081132","Non","Oui","Non","7000","Non","Non","30","1","Non","Non","Oui","Non","Non","Non","Non","4","4","2010-07-21"
"Terrain de Sports Municipal","440120002","Bernerie-en-Retz","44012","44760","","","Rue Jeanne d'Arc","[ 47.081132 , -2.038009]","-2.038009","47.081132","Non","Oui","Non","10300","Non","Non","20","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2010-07-21"
"Tennis Marboeuf","440120003","Bernerie-en-Retz","44012","44760","","","rue de l'océan","[ 47.081132 , -2.038009]","-2.038009","47.081132","Oui","Non","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","2","1","2010-07-21"
"Base Nautique","440120004","Bernerie-en-Retz","44012","44760","","","Esplanade Sainte Anne - Rue de la Mer","[ 47.081132 , -2.038009]","-2.038009","47.081132","Non","Oui","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2010-07-21"
"Circuits de Randonnees","440120005","Bernerie-en-Retz","44012","44760","","","","[ 47.081132 , -2.038009]","-2.038009","47.081132","Oui","Non","Non","","Non","Oui","0","0","Non","Non","Oui","Non","Non","Non","Non","3","3","2010-07-21"
"Grande Plage","440120008","Bernerie-en-Retz","44012","44760","","","","[ 47.081132 , -2.038009]","-2.038009","47.081132","Non","Oui","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","2","2","2010-07-21"
"Square Thibault","440120009","Bernerie-en-Retz","44012","44760","","","avenue Guitteny","[ 47.081132 , -2.038009]","-2.038009","47.081132","Non","Oui","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","2","1","2010-07-21"
"Salle des Fetes","440120010","Bernerie-en-Retz","44012","44760","","","rue Jeanne d'arc","[ 47.081132 , -2.038009]","-2.038009","47.081132","Non","Oui","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2010-07-21"
"Plan D'Eau","440120011","Bernerie-en-Retz","44012","44760","le plan d'eau","","","[ 47.081132 , -2.038009]","-2.038009","47.081132","Non","Oui","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2010-07-21"
"Aire de Mouillage Abri Cotier","440120012","Bernerie-en-Retz","44012","44760","plage des carrés","","Promenade Wilson","[ 47.081132 , -2.038009]","-2.038009","47.081132","Oui","Non","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2010-07-21"
"Site de la Boutinardiere","440120013","Bernerie-en-Retz","44012","44760","","","le trou de l'enfer","[ 47.081132 , -2.038009]","-2.038009","47.081132","Oui","Non","Non","","Non","Oui","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2010-07-21"
"Parc des Rochers Dorees","440120014","Bernerie-en-Retz","44012","44760","","","Rue de Pornic","[ 47.081132 , -2.038009]","-2.038009","47.081132","Oui","Non","Non","13700","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2010-07-21"
"Complexe Sportif","440130001","Besné","44013","44160","","","Chemin du Stade","[ 47.39712 , -2.091803]","-2.091803","47.39712","Non","Oui","Non","","Non","Non","240","5","Complexe sportif","Non","Oui","Non","Non","Non","Non","9","9","2010-08-31"
"Circuits de Randonnees","440130002","Besné","44013","44160","","","Clos de Launain","[ 47.39712 , -2.091803]","-2.091803","47.39712","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2010-08-31"
"Site de la Passerelle","440130003","Besné","44013","44160","La Passerelle","","","[ 47.39712 , -2.091803]","-2.091803","47.39712","Non","Oui","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2010-08-31"
"Terrain de Ball Trap","440130004","Besné","44013","44160","Le moulin du Temple","","","[ 47.39712 , -2.091803]","-2.091803","47.39712","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2010-08-31"
"Complexe de la Brie","440140001","Bignon","44014","44140","","","rue du stade","[ 47.097914 , -1.491926]","-1.491926","47.097914","Non","Oui","Non","","Non","Non","95","2","Complexe sportif","Non","Oui","Non","Non","Non","Non","14","13","2011-05-10"
"Jovikart - Circuit de Chantemerle","440140002","Bignon","44014","44140","","","Parc d'activités La Foret - Rue Chantemerle","[ 47.097914 , -1.491926]","-1.491926","47.097914","Non","Oui","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","2","2","2011-04-15"
"Ecuries de L'Epinay","440140003","Bignon","44014","44140","L'Epinay","","","[ 47.097914 , -1.491926]","-1.491926","47.097914","Non","Oui","Non","","Non","Non","10","0","Non","Non","Non","Non","Non","Non","Non","4","4","2012-12-11"
"Circuits de Randonnee","440140004","Bignon","44014","44140","complexe de la Brie","","","[ 47.097914 , -1.491926]","-1.491926","47.097914","Oui","Non","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","2","2","2011-05-13"
"Groupe Solaire du Moulin","440140005","Bignon","44014","44140","","1","Rue du Pré Colas","[ 47.097914 , -1.491926]","-1.491926","47.097914","Non","Oui","Non","","Non","Non","22","0","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","1","1","2011-05-13"
"Ecole Notre-Dame de Lourdes","440140006","Bignon","44014","44140","","4","Rue de la Brie","[ 47.097914 , -1.491926]","-1.491926","47.097914","Non","Oui","Non","","Non","Non","0","0","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","1","1",""
"Complexe Sportif Catherine Destivelle","440150001","Blain","44015","44130","","","Rue René Cassin","[ 47.475832 , -1.764857]","-1.764857","47.475832","Non","Oui","Non","","Non","Non","80","2","Complexe sportif","Non","Oui","Non","Non","Non","Non","5","5","2011-04-18"
"Complexe Sportif Noel Gerard","440150002","Blain","44015","44130","BLAIN","","rue René Giraud","[ 47.475832 , -1.764857]","-1.764857","47.475832","Non","Oui","Non","","Non","Non","70","2","Complexe sportif","Non","Oui","Non","Non","Non","Non","7","7","2011-04-18"
"Courts de Tennis Exterieurs","440150003","Blain","44015","44130","BLAIN","","bd de Bretagne","[ 47.475832 , -1.764857]","-1.764857","47.475832","Oui","Non","Non","","Non","Non","30","0","Non","Non","Non","Non","Non","Non","Non","4","1","2011-05-10"
"Stade Jean Leflour","440150004","Blain","44015","44130","quartier ST Laurent","","rue Alcoutim","[ 47.475832 , -1.764857]","-1.764857","47.475832","Non","Oui","Non","","Non","Non","100","0","Non","Non","Oui","Non","Non","Non","Non","4","4","2011-06-15"
"Stade Gilbert Luzeau","440150005","Blain","44015","44130","Saint Emilien de Blain","","rue du stade","[ 47.475832 , -1.764857]","-1.764857","47.475832","Oui","Non","Non","","Non","Non","100","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-04-18"
"Stade de St Omer","440150006","Blain","44015","44130","","","Cité du Bois Neil","[ 47.475832 , -1.764857]","-1.764857","47.475832","Oui","Non","Non","","Non","Non","100","0","Non","Non","Non","Non","Non","Non","Non","4","4","2011-06-15"
"Ecuries Pascal Leroy","440150007","Blain","44015","44130","Monvallon","","route de saint Emilien de Blain","[ 47.475832 , -1.764857]","-1.764857","47.475832","Non","Oui","Non","","Non","Non","20","2","Non","Non","Non","Non","Non","Non","Non","5","5","2012-12-10"
"Piscine des Menussons","440150008","Blain","44015","44130","","","Boulevard de Bretagne","[ 47.475832 , -1.764857]","-1.764857","47.475832","Non","Oui","Non","","Non","Non","30","2","Piscine","Non","Oui","Non","Non","Non","Non","1","1","2012-04-24"
"Circuits de Randonnees","440150009","Blain","44015","44130","","","","[ 47.475832 , -1.764857]","-1.764857","47.475832","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","4","4","2011-04-18"
"Port de Plaisance","440150010","Blain","44015","44130","","","quai de Surcouf","[ 47.475832 , -1.764857]","-1.764857","47.475832","Non","Oui","Non","","Non","Non","40","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-04-18"
"College Prive Saint Laurent","440150011","Blain","44015","44130","","3","rue jean XXIII","[ 47.475832 , -1.764857]","-1.764857","47.475832","Oui","Non","Non","","Non","Non","30","1","Etablissement scolaire","Non","Non","Non","Non","Non","Non","3","2","2011-05-10"
"Boulodrome du Canal","440150012","Blain","44015","44130","","","","[ 47.475832 , -1.764857]","-1.764857","47.475832","Non","Oui","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","11","2","2013-10-03"
"Etang de la Mairie","440150013","Blain","44015","44130","","","","[ 47.475832 , -1.764857]","-1.764857","47.475832","Oui","Non","Non","","Non","Non","15","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-04-18"
"La Gracinais","440150014","Blain","44015","44130","La Gracinais","","","[ 47.475832 , -1.764857]","-1.764857","47.475832","Oui","Non","Non","5600000","Non","Oui","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-04-18"
"Skate Park","440150016","Blain","44015","44130","","","rue rené cassin","[ 47.475832 , -1.764857]","-1.764857","47.475832","Non","Oui","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-04-18"
"Site de Bougard","440150017","Blain","44015","44130","ST Omer de Blain","","Bougard","[ 47.475832 , -1.764857]","-1.764857","47.475832","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-04-18"
"Site du Terrier","440150018","Blain","44015","44130","Le Terrier","","","[ 47.475832 , -1.764857]","-1.764857","47.475832","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-04-18"
"Site de Curun","440150019","Blain","44015","44130","Curun","","D 164","[ 47.475832 , -1.764857]","-1.764857","47.475832","Oui","Non","Non","6700000","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-04-18"
"Site de Carheil","440150020","Blain","44015","44130","","","Route forestière de Carheil","[ 47.475832 , -1.764857]","-1.764857","47.475832","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-04-18"
"Haras du Mn","440150021","Blain","44015","44130","La Colle","","","[ 47.475832 , -1.764857]","-1.764857","47.475832","Oui","Non","Non","","Avec logement de gardien","Non","10","0","Non","Non","Non","Non","Non","Non","Non","3","3","2012-12-10"
"Groupe Scolaire Anatole France","440150022","Blain","44015","44130","","","rue Anatole France","[ 47.475832 , -1.764857]","-1.764857","47.475832","Non","Oui","Non","","Avec logement de gardien","Non","20","2","Etablissement scolaire","Non","Non","Non","Non","Non","Non","2","2","2011-06-15"
"Hippodrome de la Foret Mespras","440150023","Blain","44015","44130","Mespras","","D 42 route du Gavre","[ 47.475832 , -1.764857]","-1.764857","47.475832","Non","Oui","Non","","Non","Non","100","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-04-18"
"Etangs du Pont Neuf","440150024","Blain","44015","44130","","","D 132","[ 47.475832 , -1.764857]","-1.764857","47.475832","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","2","2","2011-04-18"
"Passion Cheval Nature","440150025","Blain","44015","44130","le tertre à la biche","","","[ 47.475832 , -1.764857]","-1.764857","47.475832","Non","Oui","Non","","Avec logement de gardien","Non","10","0","Non","Non","Non","Non","Non","Non","Non","2","2","2012-12-10"
"Curves","440150026","Blain","44015","44130","Les Rochettes","","","[ 47.475832 , -1.764857]","-1.764857","47.475832","Non","Oui","Non","133","Non","Non","","1","Non","Non","Non","Non","Non","Non","Non","1","1","2012-02-17"
"Stade Municipal","440160001","Boissière-du-Doré","44016","44430","Patis sec","","","[ 47.231776 , -1.221218]","-1.221218","47.231776","Oui","Non","Non","16500","Non","Non","50","0","Non","Non","Non","Non","Non","Non","Non","2","2","2009-10-07"
"Salle Polyvalente Montfort","440160002","Boissière-du-Doré","44016","44430","","","Rue de Vallet","[ 47.231776 , -1.221218]","-1.221218","47.231776","Non","Oui","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2009-10-07"
"Circuits de Randonnees","440160003","Boissière-du-Doré","44016","44430","parking de la poste","","","[ 47.231776 , -1.221218]","-1.221218","47.231776","Oui","Non","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2009-10-07"
"Zone de Loisirs de la Tannerie","440160004","Boissière-du-Doré","44016","44430","La Gaudinière","","rue de Vallet","[ 47.231776 , -1.221218]","-1.221218","47.231776","Oui","Non","Non","6500","Non","Non","20","0","Non","Non","Oui","Non","Non","Non","Non","2","2","2009-10-07"
"Stade Municipal","440170001","Bonnoeuvre","44017","44540","","","rue du Stade","[ 47.526635 , -1.236951]","-1.236951","47.526635","Oui","Non","Non","15900","Non","Non","10","0","Non","Non","Oui","Non","Non","Non","Non","4","4","2013-10-22"
"Circuits de Randonnees","440170002","Bonnoeuvre","44017","44540","","","","[ 47.526635 , -1.236951]","-1.236951","47.526635","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2013-10-22"
"Salle Polyvalente et de Loisirs","440170003","Bonnoeuvre","44017","44540","","4","rue de la Corne du Cerf","[ 47.526635 , -1.236951]","-1.236951","47.526635","Non","Oui","Non","1068","Non","Non","50","1","Non","Non","Oui","Non","Non","Non","Oui","1","1","2013-10-22"
"Site du Plan D'Eau","440170004","Bonnoeuvre","44017","44540","","","Chemin des prés Rougets","[ 47.526635 , -1.236951]","-1.236951","47.526635","Non","Oui","Non","10000","Non","Non","40","0","Non","Non","Oui","Non","Non","Non","Non","3","3","2013-10-22"
"Complexe Sportifs des Ormeaux","440180001","Bouaye","44018","44830","","","ZAC des Ormeaux - Place de l'Edit de Nantes","[ 47.143419 , -1.689237]","-1.689237","47.143419","Non","Oui","Non","","Non","Non","0","0","Complexe sportif","Non","Oui","Non","Non","Non","Non","3","3","2012-02-03"
"Ecole Victor Hugo","440180002","Bouaye","44018","44830","","","Rue de la gare","[ 47.143419 , -1.689237]","-1.689237","47.143419","Non","Oui","Non","","Non","Non","0","0","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","1","1",""
"Salle Omnisports de Bellestre","440180003","Bouaye","44018","44830","","","Rue du Stade","[ 47.143419 , -1.689237]","-1.689237","47.143419","Non","Oui","Non","15138","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","6","6","2011-11-30"
"Complexe Sportif de Bellestre","440180004","Bouaye","44018","44830","","","Route du Tour","[ 47.143419 , -1.689237]","-1.689237","47.143419","Non","Oui","Non","","Non","Non","0","0","Complexe sportif","Non","Oui","Non","Non","Non","Non","7","7","2011-05-23"
"Circuits de Randonnee","440180005","Bouaye","44018","44830","","","","[ 47.143419 , -1.689237]","-1.689237","47.143419","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","4","4","2011-05-23"
"Stade des Ormeaux","440180006","Bouaye","44018","44830","","","Place de l'Edit de Nantes","[ 47.143419 , -1.689237]","-1.689237","47.143419","Non","Oui","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","2","2","2011-05-23"
"Espace Bosses des Ormeaux","440180007","Bouaye","44018","44830","","","Place de l'Edit de Nantes","[ 47.143419 , -1.689237]","-1.689237","47.143419","Oui","Non","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2011-05-23"
"Le Bois Olive","440180008","Bouaye","44018","44830","Le Bois Olive","","","[ 47.143419 , -1.689237]","-1.689237","47.143419","Oui","Non","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2011-05-23"
"Groupe Scolaire Maryse Bastie","440180009","Bouaye","44018","44830","","","Rue des Epinettes","[ 47.143419 , -1.689237]","-1.689237","47.143419","Non","Oui","Non","","Non","Non","0","0","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","3","3","2011-05-23"
"Ancienne Mairie","440180010","Bouaye","44018","44830","","9","Rue de Nantes","[ 47.143419 , -1.689237]","-1.689237","47.143419","Oui","Non","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","2","2","2011-05-23"
"Team Ouest Attelage","440180011","Bouaye","44018","44830","les Mimosas","","la Borne seize","[ 47.143419 , -1.689237]","-1.689237","47.143419","Non","Oui","Non","100000","Non","Non","20","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2012-01-16"
"Skate Park des Ormeaux","440180012","Bouaye","44018","44830","","","rue Jean Monnet","[ 47.143419 , -1.689237]","-1.689237","47.143419","Non","Oui","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2011-05-23"
"Lycee Daniel Brottier","440180013","Bouaye","44018","44830","","","allée Daniel Brottier","[ 47.143419 , -1.689237]","-1.689237","47.143419","Non","Oui","Non","","Avec logement de gardien","Non","40","0","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","2","2","2012-01-16"
"Espace de Loisirs la Grande Noue","440180014","Bouaye","44018","44830","","","rue des Cormorans","[ 47.143419 , -1.689237]","-1.689237","47.143419","Non","Oui","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","3","3","2011-05-23"
"Site de L'Etier","440180015","Bouaye","44018","44830","L'Etier","","rue du port","[ 47.143419 , -1.689237]","-1.689237","47.143419","Non","Oui","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-05-23"
"Foyer Marcel Herbreteau","440180016","Bouaye","44018","44830","","1","Place du Bois Jacques","[ 47.143419 , -1.689237]","-1.689237","47.143419","Non","Oui","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","1","1",""
"Salle Polyvalente","440190001","Bouée","44019","44260","","2","route de la Boutonnais - route de lavau","[ 47.320142 , -1.910537]","-1.910537","47.320142","Non","Oui","Non","","Non","Non","80","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2014-06-13"
"Terrain Multisports","440190002","Bouée","44019","44260","","","route de la Violière","[ 47.320142 , -1.910537]","-1.910537","47.320142","Oui","Non","Non","","Non","Non","30","0","Non","Non","Oui","Non","Non","Non","Non","2","2","2014-06-13"
"Les Ecuries de la Musse","440190003","Bouée","44019","44260","La Musse","","","[ 47.320142 , -1.910537]","-1.910537","47.320142","Oui","Non","Non","110000","Avec logement de gardien","Non","10","0","Non","Non","Non","Non","Non","Non","Non","3","3","2014-10-06"
"Circuit de Randonnees des Belles Demeures","440190004","Bouée","44019","44260","","","Place de la mairie","[ 47.320142 , -1.910537]","-1.910537","47.320142","Oui","Non","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","2","2","2014-06-13"
"Terrain de Ball Trap","440190005","Bouée","44019","44260","Les Philippières","","","[ 47.320142 , -1.910537]","-1.910537","47.320142","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2014-06-13"
"Circuit de Randonnees du Marais de la Roche","440190006","Bouée","44019","44260","","","Chemin de la Brunelais","[ 47.320142 , -1.910537]","-1.910537","47.320142","Oui","Non","Non","","-","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2014-06-13"
"Complexe Sportif de la Neustrie","440200003","Bouguenais","44020","44340","","","Chemin de la Neustrie","[ 47.178945 , -1.625855]","-1.625855","47.178945","Non","Oui","Non","","Non","Non","14","0","Complexe sportif","Non","Oui","Oui","Non","Non","Non","13","10","2012-05-30"
"Complexe Sportif de la Croix Jeannette","440200004","Bouguenais","44020","44340","","","place Pablo Néruda","[ 47.178945 , -1.625855]","-1.625855","47.178945","Non","Oui","Non","0","Non","Non","20","2","Complexe sportif","Non","Oui","Non","Non","Non","Non","8","8","2012-05-30"
"Cite de Beauvoir","440200005","Bouguenais","44020","44340","","","Rue de Beauvoir","[ 47.178945 , -1.625855]","-1.625855","47.178945","Oui","Non","Non","0","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","2","2","2012-05-30"
"Stade de Beauvoir","440200006","Bouguenais","44020","44340","","","Rue du Port Lavigne","[ 47.178945 , -1.625855]","-1.625855","47.178945","Oui","Non","Non","0","Non","Non","20","0","Non","Non","Oui","Non","Non","Non","Non","2","2","2012-05-30"
"Installation du Fougan de Mer","440200007","Bouguenais","44020","44340","","","Rue Guynemer","[ 47.178945 , -1.625855]","-1.625855","47.178945","Non","Oui","Non","","Non","Non","2","2","Non","Non","Oui","Non","Non","Non","Non","2","2","2012-05-30"
"Stade des Landes","440200008","Bouguenais","44020","44340","","","Rue J.B. Clément","[ 47.178945 , -1.625855]","-1.625855","47.178945","Non","Oui","Non","0","Non","Non","2","2","Non","Non","Oui","Non","Non","Non","Non","2","2","2012-05-30"
"Aerodrome de Nantes Atlantique","440200010","Bouguenais","44020","44340","","","Zone aeroportuaire","[ 47.178945 , -1.625855]","-1.625855","47.178945","Non","Oui","Non","","Avec logement de gardien","Non","0","0","Aérodrome/aéroport","Non","Oui","Non","Non","Non","Non","1","1","2012-05-30"
"Les Ecuries du Clos","440200011","Bouguenais","44020","44340","","","Les Champs de Bougon","[ 47.178945 , -1.625855]","-1.625855","47.178945","Non","Oui","Non","","Non","Non","60","4","Non","Non","Oui","Non","Non","Non","Non","8","8","2012-12-10"
"Lycee Daniel Brottier","440200013","Bouguenais","44020","44340","","","Chemin du couvent","[ 47.178945 , -1.625855]","-1.625855","47.178945","Non","Oui","Non","","Avec logement de gardien","Non","80","2","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","4","4","2012-12-10"
"Site de la Roche Ballue","440200015","Bouguenais","44020","44340","","","rue de la Guérinière","[ 47.178945 , -1.625855]","-1.625855","47.178945","Non","Oui","Non","130000","Sans logement de gardien","Non","100","0","Base de plein air et/ou de loisirs","Non","Oui","Non","Non","Non","Non","5","5","2013-09-27"
"Circuits de Randonnee","440200016","Bouguenais","44020","44340","","","","[ 47.178945 , -1.625855]","-1.625855","47.178945","Oui","Non","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2012-05-30"
"Espace Sportif de L'Ouche de Cormier","440200017","Bouguenais","44020","44340","","","Rue de la Gagnerie","[ 47.178945 , -1.625855]","-1.625855","47.178945","Non","Oui","Non","","Non","Non","10","1","Non","Non","Oui","Non","Non","Non","Non","3","2","2012-05-29"
"Piscine Municipale","440200018","Bouguenais","44020","44340","","","Chemin Jacques prévert","[ 47.178945 , -1.625855]","-1.625855","47.178945","Non","Oui","Non","","Non","Non","20","2","Piscine","Non","Oui","Non","Non","Non","Non","2","2","2012-05-31"
"Complexe Sportif des Belians","440200019","Bouguenais","44020","44340","","","Rue  Gustave'burg","[ 47.178945 , -1.625855]","-1.625855","47.178945","Non","Oui","Non","","Sans logement de gardien","Non","117","6","Complexe sportif","Non","Oui","Non","Non","Non","Non","4","4","2012-05-31"
"Circuit des Canotiers","440200020","Bouguenais","44020","44340","Port lavigne","","","[ 47.178945 , -1.625855]","-1.625855","47.178945","Oui","Non","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2012-05-30"
"Salle du Gal de Gaulle","440200021","Bouguenais","44020","44340","","","rue du gal de Gaulle","[ 47.178945 , -1.625855]","-1.625855","47.178945","Non","Oui","Non","","Sans logement de gardien","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2012-05-31"
"Terrain Multisports de la Pierre Blanche","440200022","Bouguenais","44020","44340","","","rue du Carrousel","[ 47.178945 , -1.625855]","-1.625855","47.178945","Oui","Non","Non","1092","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2012-05-30"
"Salle Renaud Barrault","440200023","Bouguenais","44020","44340","","","rue Andromède","[ 47.178945 , -1.625855]","-1.625855","47.178945","Non","Oui","Non","","Non","Non","0","0","Non","Non","Oui","Oui","Non","Non","Non","1","1","2012-05-31"
"Skate Park Croix Jeannette","440200024","Bouguenais","44020","44340","","","rue Salvador Alliende","[ 47.178945 , -1.625855]","-1.625855","47.178945","Non","Oui","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2012-05-29"
"L'Orange Bleue","440200025","Bouguenais","44020","44340","ZA La Bouvre","","rue Isaac Newton","[ 47.178945 , -1.625855]","-1.625855","47.178945","Non","Oui","Non","","Non","Non","24","2","Non","Non","Oui","Non","Non","Non","Non","3","3","2012-05-29"
"La Ville Au Denis","440200026","Bouguenais","44020","44340","","","route de la Ville au Denis","[ 47.178945 , -1.625855]","-1.625855","47.178945","Oui","Non","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","2","2",""
"Complexe Sportif des Puymains","440210001","Bourgneuf-en-Retz","44021","44580","","","rue des  Puymains","[ 47.042887 , -1.953174]","-1.953174","47.042887","Non","Oui","Non","","Non","Non","50","2","Complexe sportif","Non","Oui","Non","Oui","Non","Non","6","6","2011-09-20"
"Salle Polyvalente de St Cyr","440210003","Bourgneuf-en-Retz","44021","44580","St Cyr en Retz","2","rue de la mairie","[ 47.042887 , -1.953174]","-1.953174","47.042887","Non","Oui","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-09-20"
"Zone de Loisirs des Etangs","440210004","Bourgneuf-en-Retz","44021","44580","","","","[ 47.042887 , -1.953174]","-1.953174","47.042887","Oui","Non","Non","","Non","Non","50","0","Non","Non","Oui","Non","Oui","Non","Non","3","2","2011-09-20"
"Circuits de Randonnees","440210005","Bourgneuf-en-Retz","44021","44580","","","","[ 47.042887 , -1.953174]","-1.953174","47.042887","Oui","Non","Non","","Non","Oui","0","0","Non","Non","Oui","Non","Oui","Non","Non","4","4","2011-10-12"
"Les Ecuries de Harveries","440210007","Bourgneuf-en-Retz","44021","44580","Le Champ Blanc","","Route de Saint Cyr","[ 47.042887 , -1.953174]","-1.953174","47.042887","Non","Oui","Non","","Non","Non","10","0","Non","Non","Oui","Non","Non","Non","Non","2","2","2012-12-10"
"Course Poursuite","440220001","Boussay","44022","44190","La Hérie","","D 60","[ 47.043704 , -1.187675]","-1.187675","47.043704","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-04-15"
"Complexe Sportif","440220002","Boussay","44022","44190","","","Rue des Sausaies","[ 47.043704 , -1.187675]","-1.187675","47.043704","Non","Oui","Non","","Non","Non","60","3","Complexe sportif","Non","Oui","Non","Non","Non","Non","6","6","2011-03-28"
"Circuits de Randonnee","440220003","Boussay","44022","44190","","","","[ 47.043704 , -1.187675]","-1.187675","47.043704","Oui","Non","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","2","2","2011-06-06"
"Site du Pre de Sevre","440220004","Boussay","44022","44190","le pré de Sèvre","","","[ 47.043704 , -1.187675]","-1.187675","47.043704","Non","Oui","Non","","Non","Non","15","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-03-28"
"Terrain de Ball Trap","440220005","Boussay","44022","44190","La Marzelle","","chemin de la Fichonniére","[ 47.043704 , -1.187675]","-1.187675","47.043704","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-03-28"
"Site de Rousselin","440220006","Boussay","44022","44190","Rousselin","","","[ 47.043704 , -1.187675]","-1.187675","47.043704","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-03-28"
